time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2021-01-20 12:49:24.313 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,90030153728,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1611146964084, , , , ,3145728,1218, , , ,3,4,9,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,8,106,197574144,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 12:50:24.317 UTC, ,589,3166653,1184,20224,112, ,4, ,137, , , , , , , , , ,4,4, , , , ,1,6, ,28, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,4372,90028765184,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4372, ,1611146964084, , , , ,3145728,4345, , , ,3,5,11,5,2,5, , ,3,6, , , , , , , , , , , ,4096,2,3106,5, , , , , , ,1,23,337951160,2, , , , , , ,169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28, , ,58,6,45, , , , , , 
2021-01-20 12:51:24.320 UTC, ,589,3168309,1184,21880,112, ,4, ,26, , , , , , , , , ,4,4, , , , ,1,6, ,16, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,4372,90028765184,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4372, ,1611146964084, , , , ,3145728,5698, , , ,8,1,9,1, ,1, , ,3,2, , , , , , , , , , , , , ,1353,1, , , , , , ,2,101,194715648,2, , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22, ,4, , , , , , 
2021-01-20 12:52:24.323 UTC, ,589,3169365,1184,22936,112, ,4, ,154, , , , , , , , , ,4,4, , , , ,1,6, ,55, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,8165,90028728320,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8165, ,1611146964084, , , , ,3145728,8138, , , ,3,4,11,4, ,4, , ,3,6, , , , , , , , , , , , , ,2440,4, , , , , , ,1,16,219751808,3, , , , , , ,175, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , ,98,3,35, , , , , , 
2021-01-20 12:53:24.325 UTC, ,589,3169365,1184,22936,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,8165,90028728320,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8165, ,1611146964084, , , , ,3145728,8138, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,2,86,192308608,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 12:54:24.328 UTC, ,589,3169365,1184,22936,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,8165,90028711936,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8165, ,1611146964084, , , , ,3145728,8138, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,16,324910296,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 12:55:24.331 UTC, ,589,3169365,1184,22936,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,6, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,8165,90026250240,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8165, ,1611146964084, , , , ,3145728,8138, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,20,321808064,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 12:56:24.334 UTC, ,589,3173341,1184,26912,112, ,4, ,106, , , , , , , , , ,4,4, , , , ,1,6, ,62, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,8165,90026250240,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8165, ,1611146964084, , , , ,3145728,16339, , , ,3,3,10,3, ,3, , ,3,5, , , , , , , , , , , , , ,8201,3, , , , , , ,1,21,275345776,1, , , , , , ,108, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, ,10, , , , , , 
2021-01-20 12:57:24.337 UTC, ,589,3173341,1184,26912,112, ,4, ,116, , , , , , , , , ,4,4, , , , ,1,6, ,54, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,17377,90028564480,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17377, ,1611146964084, , , , ,3145728,17935, , , ,2,2,6,2, ,2, , ,3,4, , , , , , , , , , , , , ,1596,2, , , , , , , , ,355037552,1, , , , , , ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,9, , ,80,1,22, , , , , , 
2021-01-20 12:59:42.007 UTC, ,125,3165413,1184,19560, , ,4, ,383,4,0.01, , , , , , , ,4,4, ,176, ,2,2,6, ,205,9, , , , , , , , , , , , , ,19641,2,18032,18032,1,1,3,7,19689,90027347968,-1,-1, , , , , ,3,198, , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , ,17,2,1,2,1,4,1, , ,3,2, , , ,17, ,2048,1, , , , ,268694,50,1727,1, , , , , , ,8,123,90781216,1, , , , , , ,204, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
